created_at,text,url,replies,retweets,favorites,user
2017-10-19T03:03:00Z,"""46% of Americans think the Media is inventing stories about Trump &amp; his Administration."" @FoxNews   It is actually much worse than this!",https://twitter.com/realDonaldTrump/status/920847844759699456,34569,19091,82844,realDonaldTrump
2017-10-18T23:31:00Z,".@DanaPerino &amp; @BradThor,Thank you so much for the wonderful compliment. Working hard! #MAGA https://t.co/AKWlsMsCVH",https://twitter.com/realDonaldTrump/status/920794597265088512,8071,10337,43488,realDonaldTrump
2017-10-18T22:49:00Z,"""20,000_���21,000_���22,000_��� 23,000_���this year...FOUR one thousand milestones this year..."" #Dow23K #MAGA https://t.co/GQ5f2eVvEI",https://twitter.com/realDonaldTrump/status/920783976784171008,12338,14293,57004,realDonaldTrump
2017-10-18T22:19:00Z,This is what REAL PRIDE in our COUNTRY is all about! #USA_���_��� https://t.co/kyv866prdE,https://twitter.com/realDonaldTrump/status/920776302231244800,13772,17934,69196,realDonaldTrump
2017-10-18T20:42:00Z,".@NFL: Too much talk, not enough action. Stand for the National Anthem.",https://twitter.com/realDonaldTrump/status/920751863426842625,40353,22921,97812,realDonaldTrump
2017-10-18T19:27:00Z,"""Iran hides behind its assertion of technical compliance w/the nuclear deal, while it brazenly violates the other limits..""Amb. @NikkiHaley https://t.co/xvHgx7d1cT",https://twitter.com/realDonaldTrump/status/920733077349064707,6366,11799,41581,realDonaldTrump
2017-10-18T18:20:00Z,It was an honor to welcome Republican and Democratic members of the Senate Finance Committee to the @WhiteHouse today. #TaxReform https://t.co/ge4Xic9fId,https://twitter.com/realDonaldTrump/status/920716270395371521,4933,7440,36015,realDonaldTrump
2017-10-18T16:58:00Z,Our hearts are with all affected by the wildfires in California. God bless our brave First Responders and @FEMA team. We support you! https://t.co/YaoPbaVI5L,https://twitter.com/realDonaldTrump/status/920695565578592256,11403,8967,43548,realDonaldTrump
2017-10-18T15:07:00Z,The current tax code is a burden on American taxpayers &amp; harmful to job-creators. Americans need #TaxReform! More: https://t.co/qXyiYiFWCO https://t.co/NGIjJOc3TP,https://twitter.com/realDonaldTrump/status/920667567030710272,10741,10472,42996,realDonaldTrump
2017-10-18T13:41:00Z,"I am supportive of Lamar as a person &amp; also of the process, but I can never support bailing out ins co's who have made a fortune w/ O'Care.",https://twitter.com/realDonaldTrump/status/920645935981613057,13006,12949,60040,realDonaldTrump
2017-10-18T11:25:00Z,Democrat Congresswoman totally fabricated what I said to the wife of a soldier who died in action (and I have proof). Sad!,https://twitter.com/realDonaldTrump/status/920611770775064576,79771,25434,98889,realDonaldTrump
2017-10-18T11:06:00Z,The NFL has decided that it will not force players to stand for the playing of our National Anthem. Total disrespect for our great country!,https://twitter.com/realDonaldTrump/status/920606910109356032,50773,24359,100626,realDonaldTrump
2017-10-18T10:56:00Z,"As it has turned out, James Comey lied and leaked and totally protected Hillary Clinton. He was the best thing that ever happened to her!",https://twitter.com/realDonaldTrump/status/920604520572424193,23893,25248,93311,realDonaldTrump
2017-10-18T10:38:00Z,"The Democrats will only vote for Tax Increases. Hopefully, all Senate Republicans will vote for the largest Tax Cuts in U.S. history.",https://twitter.com/realDonaldTrump/status/920599916371693568,10421,14042,59992,realDonaldTrump
2017-10-18T10:27:00Z,"...people not interviewed, including Clinton herself. Comey stated under oath that he didn't do this-obviously a fix? Where is Justice Dept?",https://twitter.com/realDonaldTrump/status/920597192666157057,13682,19584,72570,realDonaldTrump
2017-10-18T10:21:00Z,"Wow, FBI confirms report that James Comey drafted letter exonerating  Crooked Hillary Clinton long before investigation was complete. Many..",https://twitter.com/realDonaldTrump/status/920595564064100352,13044,24253,85263,realDonaldTrump
2017-10-18T02:21:00Z,The most important truth our FOUNDERS understood was: FREEDOM is NOT a gift from Govt. FREEDOM is a GIFT from GOD. _�_�https://t.co/rmAzGt8SuG https://t.co/SrPavwrt2R,https://twitter.com/realDonaldTrump/status/920474831749025795,22578,17790,63240,realDonaldTrump
2017-10-18T00:44:00Z,"Thank you @Heritage! This is our once-in-a-generation opportunity to revitalize our economy, revive our industry &amp; renew the AMERICAN DREAM! https://t.co/HI30nojsGo",https://twitter.com/realDonaldTrump/status/920450535005851648,6873,9652,42205,realDonaldTrump
2017-10-17T23:06:00Z,WOW! https://t.co/eKfRktNVuy,https://twitter.com/realDonaldTrump/status/920425695507042305,13164,17099,63265,realDonaldTrump
2017-10-17T23:03:00Z,BORDER WALL prototypes underway! https://t.co/arFNO80zmO,https://twitter.com/realDonaldTrump/status/920425069964349445,25000,30876,103617,realDonaldTrump
2017-10-17T21:56:00Z,"Any increase in ObamaCare premiums is the fault of the Democrats for giving us a ""product"" that never had a chance of working.",https://twitter.com/realDonaldTrump/status/920408108194783232,33395,16757,72078,realDonaldTrump
2017-10-17T21:51:00Z,"So much Fake News being put in dying magazines and newspapers. Only place worse may be @NBCNews, @CBSNews, @ABC and @CNN. Fiction writers!",https://twitter.com/realDonaldTrump/status/920406959320371200,27461,16206,63683,realDonaldTrump
2017-10-17T18:59:00Z,It was my great honor to welcome Prime Minister Alexis Tsipras of Greece to the WH today! _�_�https://t.co/Bn1vM6fYW9 _���https://t.co/j0roMFT3YL https://t.co/MPe5HWFcZ1,https://twitter.com/realDonaldTrump/status/920363714062274560,5580,6740,37160,realDonaldTrump
2017-10-17T17:25:00Z,Join me LIVE from the Rose Garden at 1:30pmE with Prime Minister Alexis Tsipras of Greece. �_����https://t.co/Bn1vM6fYW9 https://t.co/dZB4mDBKpi,https://twitter.com/realDonaldTrump/status/920340060947574786,4998,4348,24886,realDonaldTrump
2017-10-17T16:16:00Z,"""Dow Passes 23,000 for the First Time, Fueled by Strong Earnings""#Dow23K_���https://t.co/wnkrddYlb9 https://t.co/wlP0NCNcou",https://twitter.com/realDonaldTrump/status/920322631412473856,9902,11474,45686,realDonaldTrump
2017-10-17T12:39:00Z,Rep.Tom Marino has informed me that he is withdrawing his name from consideration as drug czar. Tom is a fine man and a great Congressman!,https://twitter.com/realDonaldTrump/status/920268091329859585,19852,8680,49688,realDonaldTrump
2017-10-17T11:05:00Z,RT @Scavino45: U.S. MARKETS FROM ELECTION DAY {Since 11/8/2016} _��� https://t.co/HtjHrznQKJ,https://twitter.com/realDonaldTrump/status/920244350268903424,4058,7773,27962,realDonaldTrump
2017-10-16T23:32:00Z,Always great to see the wonderful people of South Carolina. Thank you for the beautiful welcome at Greenville-Spartanburg Int'l Airport! https://t.co/maO9Nc0sTe,https://twitter.com/realDonaldTrump/status/920069869365878785,14309,12285,65463,realDonaldTrump
2017-10-16T13:12:00Z,"I was recently asked if Crooked Hillary Clinton is going to run in 2020? My answer was, ""I hope so!""",https://twitter.com/realDonaldTrump/status/919914000959397888,57560,35102,151626,realDonaldTrump
2017-10-16T12:57:00Z,"The U.S. has gained more than 5.2 trillion dollars in Stock Market Value since Election Day! Also, record business enthusiasm.",https://twitter.com/realDonaldTrump/status/919910256624447493,19227,19599,96229,realDonaldTrump
2017-10-16T12:54:00Z,"Since Election Day on November 8, the Stock Market is up more than 25%, unemployment is at a 17 year low &amp; companies are coming back to U.S.",https://twitter.com/realDonaldTrump/status/919909494200528897,15429,20213,92373,realDonaldTrump
2017-10-16T12:49:00Z,"Dem Senator Schumer hated the Iran deal made by President Obama, but now that I am involved, he is OK with it. Tell that to Israel, Chuck!",https://twitter.com/realDonaldTrump/status/919908143475412993,10836,21054,76720,realDonaldTrump
2017-10-16T12:21:00Z,The Democrats only want to increase taxes and obstruct. That's all they are good at!,https://twitter.com/realDonaldTrump/status/919901190376259586,17682,12840,57086,realDonaldTrump
2017-10-16T12:17:00Z,Art Laffer just said that he doesn't know how a Democrat could vote against the big tax cut/reform bill and live with themselves!  @FoxNews,https://twitter.com/realDonaldTrump/status/919900022409449474,13380,12927,57827,realDonaldTrump
2017-10-16T00:55:00Z,RT @ABCNewsRadio: Global fund championed by Ivanka Trump to help women entrepreneurs begins operations https://t.co/jUmsY3ON4x https://t.co��_,https://twitter.com/realDonaldTrump/status/919728356765073408,5225,5575,25420,realDonaldTrump
2017-10-16T00:49:00Z,RT @mike_pence: .@EdWGillespie is fighting to grow the economy &amp; cut taxes! He�۪s fighting for a safer VA. And he�۪s is fighting for affordab��_,https://twitter.com/realDonaldTrump/status/919727009797951488,6502,5849,25588,realDonaldTrump
2017-10-15T13:46:00Z,"...approvals of The Keystone XL &amp; Dakota Access pipelines. Also, look at the recent EPA cancelations &amp; our great new Supreme Court Justice!",https://twitter.com/realDonaldTrump/status/919560102725738498,28105,14891,77255,realDonaldTrump
2017-10-15T13:25:00Z,"The Failing @nytimes, in a story by Peter Baker, should have mentioned the rapid terminations by me of TPP &amp; The Paris Accord &amp; the fast....",https://twitter.com/realDonaldTrump/status/919554724512387072,16341,12863,60591,realDonaldTrump
2017-10-14T23:22:00Z,"RT @FoxNews: TONIGHT on ""Justice,"" @JudgeJeanine talks to special guests @EricTrump and @LaraLeaTrump - Tune in at 9p ET on Fox News Channe��_",https://twitter.com/realDonaldTrump/status/919342572526559232,6103,4504,24172,realDonaldTrump
2017-10-14T21:29:00Z,RT @EricTrump: .@LaraLeaTrump and I look forward to being on @JudgeJeanine tonight at 9pm! @FoxNews #MakeAmericaGreatAgain _���_���_���_���_���_��� https://t��_,https://twitter.com/realDonaldTrump/status/919314277177192448,6096,5840,33380,realDonaldTrump
2017-10-14T21:28:00Z,RT @mike_pence: We are heading to Virginia. Looking forward to supporting my friend @EdWGillespie. He will make a great Governor for the Co��_,https://twitter.com/realDonaldTrump/status/919314010587230208,6195,7975,40910,realDonaldTrump
